,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
450,sounds/asr-spanish-v1-carlfm01/audios\011d3ad6-e5f2-49b3-b8fc-8f409864967e.wav,19,0,3.44,3.44,5.523255813953488,5.523255813953488,0.18105263157894735
451,sounds/asr-spanish-v1-carlfm01/audios\011d9edf-e086-452c-8304-2d4a3c45c164.wav,11,0,2.52,2.52,4.365079365079365,4.365079365079365,0.2290909090909091
452,sounds/asr-spanish-v1-carlfm01/audios\011e8b5f-a9eb-43f2-b230-37f1130836d2.wav,14,0,2.54,2.54,5.511811023622047,5.511811023622047,0.18142857142857144
453,sounds/asr-spanish-v1-carlfm01/audios\011e9b8d-fd0d-468d-bd09-81463748c4c0.wav,11,0,2.34,2.34,4.700854700854701,4.700854700854701,0.2127272727272727
454,sounds/asr-spanish-v1-carlfm01/audios\011f3474-4ebe-469f-9acf-10e1087b6233.wav,26,1,5.16,5.16,5.038759689922481,5.425709515859767,0.1843076923076923
455,sounds/asr-spanish-v1-carlfm01/audios\011f7ddc-e909-4e74-9ccc-dee05c2610ff.wav,29,1,5.8,5.8,5.0,5.338733431516936,0.1873103448275862
456,sounds/asr-spanish-v1-carlfm01/audios\011fffa9-5acd-4d6f-a903-8dd241c47da4.wav,8,0,1.98,1.98,4.040404040404041,4.040404040404041,0.2475
457,sounds/asr-spanish-v1-carlfm01/audios\0120a621-f7ec-402b-86ab-72b2d8493268.wav,11,0,2.24,2.24,4.910714285714286,4.910714285714286,0.20363636363636364
458,sounds/asr-spanish-v1-carlfm01/audios\0121eb2b-a7d7-441e-a49f-0a518c321f82.wav,27,3,7.13,7.13,3.7868162692847127,5.15562344853924,0.19396296296296298
459,sounds/asr-spanish-v1-carlfm01/audios\0121f55e-f211-476c-afe2-5ce4d161aff2.wav,20,2,5.48,5.48,3.64963503649635,4.47227191413238,0.22359999999999997
460,sounds/asr-spanish-v1-carlfm01/audios\0121fb31-2c76-4657-919d-183e9c816827.wav,18,0,3.8,3.8,4.736842105263158,4.736842105263158,0.2111111111111111
461,sounds/asr-spanish-v1-carlfm01/audios\01220187-937f-4e8d-81dc-064c22c87199.wav,31,1,6.69,6.69,4.633781763826606,5.425271263563178,0.1843225806451613
462,sounds/asr-spanish-v1-carlfm01/audios\012283a8-9c28-4856-9bb3-1bce31f2449b.wav,22,2,6.06,6.06,3.6303630363036308,4.313725490196079,0.2318181818181818
463,sounds/asr-spanish-v1-carlfm01/audios\0122bbf8-ef05-45d5-9b20-cc1bde6d0e8e.wav,17,0,4.18,4.18,4.0669856459330145,4.0669856459330145,0.24588235294117644
464,sounds/asr-spanish-v1-carlfm01/audios\0122e5e8-4744-4083-b3de-0f270bd93d55.wav,12,0,2.53,2.53,4.743083003952569,4.743083003952569,0.21083333333333332
465,sounds/asr-spanish-v1-carlfm01/audios\0122ff46-3c3c-4d8d-94a1-99ff403483ef.wav,11,0,2.36,2.36,4.661016949152542,4.661016949152542,0.21454545454545454
466,sounds/asr-spanish-v1-carlfm01/audios\0123a8c6-07b7-490c-9dfb-abe0fd66a433.wav,11,0,2.43,2.43,4.526748971193415,4.526748971193415,0.22090909090909092
467,sounds/asr-spanish-v1-carlfm01/audios\01247662-182b-424d-a617-1f2490cea879.wav,13,1,3.55,3.55,3.6619718309859155,4.6999276934201015,0.21276923076923077
468,sounds/asr-spanish-v1-carlfm01/audios\0125e1f2-4b3a-42e8-ba15-3d2f243b793f.wav,9,0,1.61,1.61,5.590062111801242,5.590062111801242,0.1788888888888889
469,sounds/asr-spanish-v1-carlfm01/audios\0126988a-68b1-4c65-81a4-704285fe806c.wav,25,0,4.27,4.27,5.85480093676815,5.85480093676815,0.17079999999999998
470,sounds/asr-spanish-v1-carlfm01/audios\0126e33e-2f95-4a47-a998-903127575d9a.wav,22,1,4.41,4.41,4.988662131519274,5.508262393590385,0.18154545454545457
471,sounds/asr-spanish-v1-carlfm01/audios\0126f488-cc4d-431a-af7a-5242286a065f.wav,14,1,3.65,3.65,3.8356164383561646,5.397070161912105,0.18528571428571428
472,sounds/asr-spanish-v1-carlfm01/audios\01270334-aca1-4aee-8a15-17f6f7cfb20b.wav,21,1,4.07,4.07,5.159705159705159,5.6481979558902635,0.17704761904761904
473,sounds/asr-spanish-v1-carlfm01/audios\0127b473-f0a5-49a7-b45b-ada2a6417bd0.wav,12,0,2.99,2.99,4.013377926421405,4.013377926421405,0.24916666666666668
474,sounds/asr-spanish-v1-carlfm01/audios\01280bbb-a46a-401f-9bca-b73c2e4b9331.wav,8,0,1.74,1.74,4.597701149425287,4.597701149425287,0.2175
475,sounds/asr-spanish-v1-carlfm01/audios\012829d4-5099-4dcc-bef8-9b573e0110e7.wav,27,1,4.97,4.97,5.432595573440644,5.928853754940711,0.1686666666666667
476,sounds/asr-spanish-v1-carlfm01/audios\01286ad3-c8b8-4940-ae83-b012d9b9db8c.wav,20,0,3.73,3.73,5.361930294906166,5.361930294906166,0.1865
